rating,easy,medium,hard,acceptance,weekly
2730.0,67.0,62.0,172.0,0.0,0.0
2729.0,58.0,76.0,196.0,40.0,0.0
2728.0,206.0,174.0,198.0,80.0,3.0
2728.0,61.0,86.0,314.0,30.0,7.0
2726.0,87.0,112.0,125.0,70.0,0.0
2725.0,119.0,82.0,199.0,45.0,1.0
2724.0,82.0,119.0,241.0,65.0,0.0
2724.0,178.0,143.0,267.0,75.0,0.0
2723.0,64.0,44.0,47.0,75.0,0.0
2723.0,95.0,167.0,74.0,20.0,0.0
2722.0,8.0,10.0,7.0,25.0,0.0
2720.0,139.0,111.0,124.0,85.0,0.0
2720.0,60.0,52.0,64.0,75.0,0.0
2719.0,136.0,161.0,130.0,75.0,0.0
2719.0,52.0,87.0,260.0,65.0,0.0
2718.0,27.0,18.0,14.0,85.0,0.0
2716.0,133.0,140.0,117.0,20.0,3.0
2715.0,107.0,72.0,72.0,30.0,6.0
2715.0,30.0,39.0,391.0,25.0,7.0
2715.0,52.0,67.0,186.0,45.0,0.0
2714.0,136.0,138.0,147.0,40.0,3.0
2712.0,105.0,72.0,68.0,25.0,0.0
2711.0,32.0,31.0,47.0,40.0,7.0
2709.0,229.0,168.0,122.0,30.0,13.0
2708.0,133.0,127.0,164.0,65.0,0.0
2707.0,41.0,34.0,35.0,25.0,0.0
2705.0,131.0,139.0,109.0,50.0,0.0
2705.0,44.0,40.0,51.0,60.0,0.0
2705.0,17.0,28.0,53.0,10.0,0.0
2703.0,26.0,35.0,40.0,15.0,0.0
2702.0,64.0,71.0,239.0,65.0,0.0
2701.0,46.0,50.0,193.0,20.0,0.0
2700.0,221.0,173.0,190.0,85.0,0.0
2700.0,106.0,185.0,157.0,80.0,0.0
2700.0,14.0,24.0,137.0,60.0,2.0
2698.0,62.0,67.0,122.0,60.0,0.0
2697.0,50.0,65.0,85.0,5.0,0.0
2697.0,4.0,0.0,0.0,20.0,0.0
2696.0,79.0,54.0,127.0,30.0,0.0
2696.0,107.0,103.0,137.0,35.0,0.0
2696.0,62.0,52.0,16.0,65.0,0.0
2695.0,49.0,55.0,302.0,15.0,0.0
2695.0,23.0,41.0,75.0,70.0,0.0
2693.0,53.0,63.0,88.0,50.0,0.0
2692.0,112.0,171.0,101.0,50.0,0.0
2692.0,42.0,36.0,258.0,45.0,8.0
2692.0,67.0,82.0,109.0,70.0,0.0
2691.0,162.0,121.0,70.0,60.0,0.0
2691.0,97.0,77.0,82.0,55.0,0.0
2690.0,37.0,50.0,49.0,65.0,0.0
2689.0,99.0,84.0,134.0,35.0,0.0
2688.0,87.0,134.0,93.0,50.0,0.0
2688.0,35.0,23.0,98.0,60.0,8.0
2687.0,31.0,30.0,159.0,20.0,0.0
2686.0,81.0,63.0,114.0,25.0,3.0
2686.0,60.0,62.0,118.0,10.0,0.0
2685.0,30.0,21.0,20.0,70.0,0.0
2685.0,88.0,104.0,106.0,45.0,0.0
2683.0,133.0,133.0,165.0,55.0,0.0
2683.0,73.0,46.0,55.0,55.0,0.0
2682.0,51.0,60.0,55.0,55.0,0.0
2682.0,40.0,72.0,177.0,5.0,0.0
2681.0,58.0,57.0,39.0,25.0,0.0
2679.0,31.0,44.0,110.0,20.0,0.0
2679.0,80.0,70.0,56.0,10.0,8.0
2678.0,86.0,81.0,162.0,40.0,12.0
2678.0,91.0,79.0,32.0,60.0,0.0
2677.0,191.0,140.0,95.0,30.0,0.0
2674.0,74.0,118.0,48.0,60.0,0.0
2673.0,91.0,217.0,114.0,90.0,0.0
2672.0,73.0,72.0,90.0,75.0,0.0
2671.0,104.0,73.0,95.0,45.0,2.0
2671.0,31.0,62.0,25.0,35.0,0.0
2671.0,45.0,47.0,264.0,30.0,0.0
2671.0,34.0,113.0,154.0,45.0,0.0
2671.0,30.0,30.0,200.0,35.0,4.0
2671.0,155.0,121.0,298.0,30.0,0.0
2669.0,262.0,148.0,45.0,55.0,0.0
2667.0,106.0,107.0,133.0,35.0,0.0
