ranking,easy,medium,hard,acceptance,weekly
,,,,,
2627791,4,11,12,35.0,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
3228,404,838,342,80.0,16
,,,,,
,,,,,
5000001,0,0,0,0,
,,,,,
,,,,,
744,562,1186,506,100.0,16
,,,,,
768221,33,91,28,20.0,
,,,,,
75323,162,341,139,45.0,2
,,,,,
,,,,,
1529469,19,42,6,100.0,
,,,,,
,,,,,
,,,,,
,,,,,
4458239,7,1,0,10.0,
,,,,,
2050408,11,22,10,70.0,0
,,,,,
127142,21,246,249,80.0,8
5000001,0,0,0,0,
1276920,28,47,10,55.0,
443547,55,140,50,45.0,0
,,,,,
,,,,,
,,,,,
5000001,2,0,0,100.0,
,,,,,
,,,,,
,,,,,
5000001,0,0,0,0,
,,,,,
,,,,,
,,,,,
,,,,,
4870,352,740,336,90.0,0
,,,,,
,,,,,
5000001,0,0,0,0,
686,472,1218,607,90.0,1
5000001,0,0,0,0,
1099255,33,65,5,5.0,
5000001,0,0,0,0,
,,,,,
,,,,,
,,,,,
81149,190,315,118,80.0,0
,,,,,
,,,,,
2267,510,923,287,90.0,11
,,,,,
,,,,,
541,629,1294,489,80.0,7
,,,,,
,,,,,
1839,485,1020,303,95.0,11
327,734,1352,536,85.0,0
,,,,,
,,,,,
32633,270,434,150,80.0,28
,,,,,
,,,,,
,,,,,
217708,11,196,186,80.0,3
65323,161,390,125,90.0,0
3050313,6,13,1,60.0,
,,,,,
1972597,33,12,0,65.0,0
,,,,,
107931,154,293,107,90.0,0
,,,,,
594689,76,102,15,75.0,
109806,189,322,38,85.0,12
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
5000001,0,0,2,90.91,
,,,,,
1785,406,928,488,70.0,8
,,,,,
,,,,,
,,,,,
464967,51,127,58,30.0,
,,,,,
,,,,,
5000001,1,0,0,20.0,
286950,78,196,58,55.0,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
526614,51,131,32,85.0,0
8733,337,673,221,90.0,11
3741206,4,5,4,45.0,0
1386,411,1046,489,100.0,14
100009,164,282,126,55.0,0
32286,233,500,125,90.0,18
,,,,,
,,,,,
136,715,1607,584,70.0,3
,,,,,
12371,282,572,272,25.0,8
695,509,1199,586,85.0,7
176971,109,230,103,65.0,18
556092,101,89,15,60.0,0
19547,318,551,126,60.0,5
39348,161,410,234,60.0,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
16071,271,581,197,40.0,
,,,,,
366369,81,146,55,70.0,0
5000001,0,0,0,0,
1244460,53,34,1,10.0,
,,,,,
1371,576,1032,345,50.0,8
10100,,,,65.0,0
,,,,,
,,,,,
1173788,56,37,2,65.0,0
1845301,27,23,0,0.0,
5000001,0,0,0,0.0,
,,,,,
6066,350,734,267,80.0,
5000001,0,0,0,0.0,
368124,75,155,51,60.0,
5000001,0,0,0,0,
,,,,,
3029805,16,5,0,25.0,0
469787,62,113,60,70.0,0
3772,415,846,262,80.0,8
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
5000001,0,0,0,0,
,,,,,
,,,,,
3566908,4,9,2,60.0,0
,,,,,
249,703,1383,633,70.0,12
4456696,7,1,0,30.0,
,,,,,
5000001,0,0,0,0,
,,,,,
,,,,,
5000001,0,0,1,100.0,
,,,,,
,,,,,
,,,,,
2517,476,903,304,80.0,6
1413,606,1055,276,60.0,7
3983676,8,3,0,75.0,0
,,,,,
,,,,,
5000001,0,0,0,0,
,,,,,
5000001,0,0,0,0,
,,,,,
1606,564,994,318,85.0,8
884,548,1143,476,75.0,16
,,,,,
,,,,,
,,,,,
,,,,,
1700009,18,26,13,50.0,5
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
929638,31,79,15,30.0,
973,545,1274,301,100.0,12
,,,,,
15374,215,538,310,75.0,2
,,,,,
3592,230,920,392,60.0,0
729,544,1210,516,70.0,9
,,,,,
,,,,,
,,,,,
1137014,25,48,27,85.0,0
5000001,0,3,0,5.0,
520,587,1273,571,60.0,0
,,,,,
,,,,,
2013,526,985,256,80.0,25
,,,,,
1979456,13,24,8,40.0,0
5000001,0,0,0,0,
,,,,,
,,,,,
,,,,,
5000001,1,0,0,66.67,
,,,,,
262929,72,150,129,75.0,27
,,,,,
,,,,,
5000001,0,0,0,0,
237332,220,137,16,70.0,0
,,,,,
1618154,9,44,8,55.0,
,,,,,
1392,483,965,496,70.0,7
451475,39,82,121,40.0,0
162363,72,230,157,75.0,2
,,,,,
39871,194,479,129,90.0,
,,,,,
46075,184,423,158,75.0,0
3096,420,972,211,65.0,0
,,,,,
,,,,,
,,,,,
,,,,,
5000001,1,3,0,10.0,
835365,33,83,24,25.0,
,,,,,
,,,,,
97546,171,298,109,65.0,0
251,664,1414,638,75.0,18
