ranking,easy,medium,hard,acceptance,weekly
21000.0,181.0,566.0,229.0,90.0,45.0
16435.0,282.0,587.0,176.0,70.0,33.0
332833.0,87.0,182.0,32.0,90.0,127.0
279027.0,201.0,131.0,7.0,80.0,10.0
100961.0,242.0,277.0,51.0,65.0,31.0
5000001.0,0.0,2.0,0.0,100.0,0.0
437623.0,111.0,122.0,16.0,85.0,16.0
918707.0,65.0,55.0,7.0,45.0,0.0
259059.0,106.0,205.0,43.0,95.0,15.0
261430.0,104.0,216.0,32.0,50.0,16.0
67440.0,167.0,412.0,90.0,65.0,16.0
2055366.0,19.0,20.0,3.0,55.0,0.0
404639.0,67.0,155.0,44.0,85.0,22.0
180556.0,118.0,274.0,43.0,75.0,13.0
78765.0,166.0,357.0,109.0,60.0,19.0
318128.0,53.0,212.0,46.0,80.0,3.0
824125.0,69.0,61.0,12.0,65.0,12.0
702617.0,86.0,76.0,4.0,50.0,0.0
143479.0,163.0,284.0,40.0,60.0,16.0
925938.0,40.0,71.0,15.0,60.0,17.0
14669.0,301.0,637.0,138.0,60.0,15.0
186789.0,105.0,267.0,59.0,90.0,108.0
13995.0,272.0,614.0,203.0,50.0,4.0
15781.0,588.0,441.0,26.0,75.0,13.0
846.0,546.0,1209.0,437.0,45.0,9.0
961709.0,38.0,78.0,6.0,80.0,18.0
95490.0,185.0,340.0,58.0,25.0,14.0
3444719.0,6.0,9.0,1.0,55.0,6.0
17323.0,211.0,613.0,205.0,50.0,16.0
2573286.0,8.0,16.0,5.0,55.0,7.0
2638816.0,15.0,12.0,0.0,90.0,0.0
861.0,590.0,1191.0,400.0,65.0,6.0
437495.0,89.0,136.0,23.0,65.0,16.0
357826.0,72.0,194.0,21.0,80.0,9.0
4897.0,347.0,749.0,329.0,70.0,23.0
1099058.0,41.0,52.0,11.0,50.0,11.0
1067.0,490.0,1147.0,443.0,65.0,12.0
321087.0,62.0,204.0,44.0,70.0,60.0
48359.0,259.0,419.0,82.0,80.0,68.0
1236.0,494.0,1054.0,457.0,40.0,27.0
285086.0,95.0,205.0,34.0,40.0,252.0
5116.0,353.0,781.0,278.0,55.0,17.0
908171.0,108.0,19.0,2.0,80.0,10.0
493036.0,22.0,147.0,57.0,45.0,6.0
5000001.0,1.0,2.0,0.0,42.86,7.0
2527041.0,8.0,17.0,5.0,30.0,8.0
838.0,492.0,1211.0,493.0,65.0,10.0
570880.0,118.0,78.0,5.0,55.0,18.0
194198.0,197.0,185.0,37.0,50.0,56.0
2392812.0,4.0,22.0,9.0,55.0,13.0
514026.0,48.0,151.0,19.0,60.0,0.0
90339.0,159.0,323.0,126.0,100.0,88.0
863675.0,58.0,59.0,19.0,60.0,0.0
