rating,easy,medium,hard,acceptance,weekly,score
2618,156,150,129,50,0,3461
2618,75,72,67,15,0,3038
2617,32,51,26,10,0,2829
2617,21,35,212,35,3,3344
2617,216,169,123,10,0,3540
2617,157,125,135,70,0,3429
2617,54,68,102,25,1,3113
2616,92,66,76,55,0,3068
2616,50,75,199,55,0,3413
2614,31,22,14,65,0,2731
2614,99,75,72,60,0,3079
2614,125,132,162,50,0,3489
2613,51,47,71,55,14,2971
2613,226,143,74,0,1,3347
2612,79,82,149,20,1,3302
2612,79,90,168,75,28,3375
2611,38,44,54,20,0,2899
2611,110,189,113,80,0,3438
2611,135,113,131,45,3,3365
2611,28,27,199,60,3,3290
2610,26,41,281,75,0,3561
2610,57,59,235,55,0,3490
2609,199,171,113,70,0,3489
2609,186,143,134,55,0,3483
2608,117,98,89,55,0,3188
2607,24,42,203,45,0,3324
2607,186,113,63,40,0,3208
2606,34,67,178,70,0,3308
2605,130,92,110,90,6,3249
2604,112,137,249,85,0,3737
2603,40,83,108,10,0,3133
2603,15,13,253,35,9,3403
2603,31,33,23,35,0,2769
2602,242,177,136,75,0,3606
2602,90,106,64,40,0,3096
2601,169,166,125,80,2,3477
2601,55,47,168,70,0,3254
2600,113,158,192,80,0,3605
2599,262,237,150,100,1,3785
2599,69,158,123,40,0,3353
2599,54,42,44,60,0,2869
2598,3,6,9,5,0,2640
2598,39,31,32,5,0,2795
2598,122,166,133,50,0,3451
2597,65,56,164,70,0,3266
2597,159,122,131,65,0,3393
2596,321,213,131,70,0,3736
2594,81,89,104,35,0,3165
2593,104,111,74,30,0,3141
2593,88,82,165,75,3,3340
2592,144,181,90,30,0,3368
2592,47,36,30,60,0,2801
2592,70,90,37,45,0,2953
2592,87,128,203,55,0,3544
2592,63,41,46,40,0,2875
2590,213,175,140,75,6,3573
2588,161,107,38,45,0,3077
2588,129,111,215,75,22,3584
2588,314,212,154,65,10,3788
2588,55,53,23,40,0,2818
2588,157,122,116,35,23,3337
2586,154,153,101,25,0,3349
2586,67,80,173,75,1,3332
2585,53,55,192,15,0,3324
2585,144,90,137,50,0,3320
2585,176,148,88,40,0,3321
2584,91,79,129,10,16,3220
2584,85,73,76,60,13,3043
2584,85,63,152,45,5,3251
2584,61,50,73,30,0,2964
2584,156,135,221,65,0,3673
2584,110,99,235,55,4,3597
2583,50,46,251,50,0,3478
2583,278,178,179,60,0,3754
2581,23,31,41,15,10,2789
2581,76,87,38,80,0,2945
2580,59,62,167,45,8,3264
2580,65,129,321,70,0,3866
2579,214,215,286,95,10,4081
2579,82,58,100,55,0,3077
2579,86,69,41,45,0,2926
2578,118,102,116,65,18,3248
2578,61,30,88,70,8,2963
2578,130,84,65,35,4,3071
2578,94,116,95,55,0,3189
2578,74,51,212,25,17,3390
2577,200,143,143,50,8,3492
2576,82,74,46,60,0,2944
2576,259,176,137,75,8,3598
2574,112,123,94,85,0,3214
2574,251,159,87,65,8,3404
2573,96,67,76,75,0,3031
2573,110,61,35,40,0,2910
2572,108,111,157,35,0,3373
2571,32,28,21,40,0,2722
2571,152,150,121,55,20,3386
2571,156,122,75,40,0,3196
